serial_number,date,ai_result,wav_data
ITRI0000005,2024-11-01,60.00000,2024-11-01T135205
ITRI0003003,2024-11-01,70.00000,2024-11-01T125954
ITRI0003003,2024-11-01,69.00000,2024-11-01T125946
ITRI0003003,2024-11-01,74.00000,2024-11-01T125807
ITRI0003003,2024-11-01,75.00000,2024-11-01T125802
ITRI0003003,2024-11-01,73.00000,2024-11-01T125755
ITRI0003003,2024-11-01,64.00000,2024-11-01T125707
ITRI0003003,2024-11-01,64.00000,2024-11-01T120045
ITRI0003003,2024-11-01,64.00000,2024-11-01T120038
ITRI0003003,2024-11-01,64.00000,2024-11-01T115854
ITRI0003003,2024-11-01,64.00000,2024-11-01T115847
ITRI0003003,2024-11-01,60.00000,2024-11-01T115737
ITRI0003003,2024-11-01,60.00000,2024-11-01T115731
ITRI0003003,2024-11-01,60.00000,2024-11-01T115718
ITRI0003003,2024-11-01,64.00000,2024-11-01T115530
ITRI0003003,2024-11-01,74.00000,2024-11-01T102823
ITRI0003003,2024-11-01,76.00000,2024-11-01T102815
ITRI0003003,2024-11-01,76.00000,2024-11-01T102810
ITRI0003003,2024-11-01,62.00000,2024-11-01T102742
ITRI0003003,2024-11-01,63.00000,2024-11-01T102738
ITRI0003003,2024-11-01,60.00000,2024-11-01T102733
ITRI0003003,2024-11-01,62.00000,2024-11-01T102655
ITRI0003003,2024-11-01,63.00000,2024-11-01T102622
ITRI0003004,2024-10-29,65.00000,2024-10-29T101052
ITRI0003004,2024-10-29,64.00000,2024-10-29T101048
ITRI0003004,2024-10-29,62.00000,2024-10-29T101030
ITRI0001001,2024-10-28,60.00000,2024-10-28T145802
ITRI0001001,2024-10-28,70.00000,2024-10-28T145722
ITRI0004002,2024-10-28,71.00000,2024-10-28T145155
ITRI0004002,2024-10-28,73.00000,2024-10-28T142408
ITRI0000005,2024-10-28,70.00000,2024-10-28T142334
ITRI0000005,2024-10-28,71.00000,2024-10-28T142300
ITRI0000005,2024-10-28,71.00000,2024-10-28T142300
ITRI0000005,2024-10-28,60.00000,2024-10-28T142243
ITRI0000005,2024-10-28,60.00000,2024-10-28T142243
ITRI0004002,2024-10-28,83.00000,2024-10-28T141940
ITRI0004002,2024-10-28,64.00000,2024-10-28T141819
ITRI0004002,2024-10-28,70.00000,2024-10-28T141742
ITRI0000005,2024-10-28,75.00000,2024-10-28T135753
ITRI0000005,2024-10-28,75.00000,2024-10-28T135753
ITRI0000005,2024-10-28,77.00000,2024-10-28T135748
ITRI0000005,2024-10-28,77.00000,2024-10-28T135748
ITRI0000005,2024-10-28,78.00000,2024-10-28T135714
ITRI0000005,2024-10-28,78.00000,2024-10-28T135714
ITRI0004002,2024-10-28,65.00000,2024-10-28T133031
ITRI0004002,2024-10-28,83.00000,2024-10-28T132732
ITRI0004002,2024-10-28,61.00000,2024-10-28T112758
ITRI0004002,2024-10-28,61.00000,2024-10-28T112711
ITRI0004003,2024-10-28,76.00000,2024-10-28T112422
ITRI0004003,2024-10-28,68.00000,2024-10-28T105032
ITRI0005003,2024-10-27,65.00000,2024-10-27T230113
ITRI0005003,2024-10-27,64.00000,2024-10-27T230108
ITRI0005003,2024-10-27,65.00000,2024-10-27T230054
ITRI0005003,2024-10-27,63.00000,2024-10-27T230024
ITRI0005003,2024-10-27,66.00000,2024-10-27T230019
ITRI0005003,2024-10-27,65.00000,2024-10-27T225949
ITRI0011003,2024-10-25,66.00000,2024-10-25T104851
ITRI0011003,2024-10-25,61.00000,2024-10-25T104845
ITRI0011003,2024-10-25,67.00000,2024-10-25T104814
ITRI0011003,2024-10-25,63.00000,2024-10-25T104809
ITRI0011003,2024-10-25,64.00000,2024-10-25T104803
ITRI0004002,2024-10-25,73.00000,2024-10-25T104739
ITRI0011003,2024-10-25,61.00000,2024-10-25T104736
ITRI0004002,2024-10-25,75.00000,2024-10-25T104734
ITRI0011003,2024-10-25,63.00000,2024-10-25T104730
ITRI0004002,2024-10-25,72.00000,2024-10-25T104729
ITRI0004002,2024-10-25,67.00000,2024-10-25T104700
ITRI0011003,2024-10-25,61.00000,2024-10-25T104656
ITRI0004002,2024-10-25,66.00000,2024-10-25T104654
ITRI0011003,2024-10-25,60.00000,2024-10-25T104510
ITRI0004002,2024-10-25,70.00000,2024-10-25T104643
ITRI0011003,2024-10-25,65.00000,2024-10-25T104442
ITRI0011003,2024-10-25,71.00000,2024-10-25T104336
ITRI0011003,2024-10-25,63.00000,2024-10-25T104325
ITRI0011003,2024-10-25,69.00000,2024-10-25T104252
ITRI0011003,2024-10-25,60.00000,2024-10-25T104241
ITRI0011003,2024-10-25,70.00000,2024-10-25T104200
KST0000002,2024-10-24,62.00000,2024-10-24T140504
KST0000002,2024-10-24,64.00000,2024-10-24T140033
KST0000002,2024-10-24,64.00000,2024-10-24T140025
ITRI0004002,2024-10-24,60.00000,2024-10-24T135000
ITRI0004002,2024-10-24,60.00000,2024-10-24T134430
KST0000002,2024-10-24,68.00000,2024-10-24T134353
ITRI0003003,2024-10-23,64.00000,2024-10-23T113327
ITRI0003003,2024-10-23,64.00000,2024-10-23T113322
ITRI0003003,2024-10-23,62.00000,2024-10-23T113317
ITRI0003003,2024-10-23,64.00000,2024-10-23T113246
ITRI0003003,2024-10-23,66.00000,2024-10-23T113240
ITRI0003003,2024-10-23,66.00000,2024-10-23T113235
ITRI0003003,2024-10-23,60.00000,2024-10-23T113021
ITRI0003003,2024-10-23,70.00000,2024-10-23T113012
ITRI0003003,2024-10-23,71.00000,2024-10-23T113002
ITRI0003003,2024-10-23,63.00000,2024-10-23T112950
ITRI0003003,2024-10-23,60.00000,2024-10-23T104528
ITRI0003003,2024-10-23,63.00000,2024-10-23T104452
ITRI0003003,2024-10-23,71.00000,2024-10-23T104447
ITRI0003003,2024-10-23,61.00000,2024-10-23T104442
ITRI0003003,2024-10-23,63.00000,2024-10-23T104214
ITRI0003003,2024-10-23,61.00000,2024-10-23T104126
ITRI0001001,2024-10-22,81.00000,2024-10-22T234813
ITRI0001001,2024-10-22,77.00000,2024-10-22T234729
ITRI0001001,2024-10-22,82.00000,2024-10-22T234351
ITRI0001001,2024-10-22,75.00000,2024-10-22T234345
ITRI0009001,2024-10-22,67.00000,2024-10-22T114112
ITRI0009001,2024-10-22,67.00000,2024-10-22T114112
ITRI0009001,2024-10-22,65.00000,2024-10-22T114002
ITRI0009001,2024-10-22,65.00000,2024-10-22T114002
ITRI0003003,2024-10-22,77.00000,2024-10-22T104700
ITRI0003003,2024-10-22,77.00000,2024-10-22T104655
ITRI0003003,2024-10-22,78.00000,2024-10-22T104643
ITRI0003003,2024-10-22,80.00000,2024-10-22T104535
ITRI0003003,2024-10-22,81.00000,2024-10-22T104529
ITRI0003003,2024-10-22,72.00000,2024-10-22T104524
ITRI0003003,2024-10-22,73.00000,2024-10-22T104518
ITRI0003004,2024-10-21,60.00000,2024-10-21T105420
ITRI0003004,2024-10-21,62.00000,2024-10-21T105400
ITRI0002001,2024-10-18,63.00000,2024-10-18T104254
ITRI0002001,2024-10-18,61.00000,2024-10-18T103935
ITRI0002001,2024-10-18,67.00000,2024-10-18T103906
ITRI0002001,2024-10-18,71.00000,2024-10-18T103801
ITRI0002001,2024-10-18,67.00000,2024-10-18T103716
ITRI0002001,2024-10-18,63.00000,2024-10-18T103711
ITRI0002001,2024-10-18,66.00000,2024-10-18T103708
ITRI0002001,2024-10-18,64.00000,2024-10-18T103704
ITRI0002001,2024-10-18,67.00000,2024-10-18T103700
ITRI0002001,2024-10-18,60.00000,2024-10-18T103604
ITRI0002001,2024-10-18,66.00000,2024-10-18T103512
ITRI0002001,2024-10-18,72.00000,2024-10-18T103457
ITRI0002001,2024-10-18,73.00000,2024-10-18T103453
ITRI0002001,2024-10-18,71.00000,2024-10-18T103449
ITRI0002001,2024-10-18,76.00000,2024-10-18T103445
ITRI0002001,2024-10-18,72.00000,2024-10-18T103441
ITRI0002001,2024-10-18,69.00000,2024-10-18T103435
ITRI0002001,2024-10-18,68.00000,2024-10-18T103400
ITRI0002001,2024-10-18,63.00000,2024-10-18T103143
ITRI0002001,2024-10-18,64.00000,2024-10-18T103139
ITRI0002001,2024-10-18,64.00000,2024-10-18T102302
ITRI0005001,2024-10-18,68.00000,2024-10-18T095722
ITRI0005001,2024-10-18,64.00000,2024-10-18T095454
ITRI0002001,2024-10-18,60.00000,2024-10-18T095420
ITRI0002001,2024-10-18,67.00000,2024-10-18T095412
ITRI0002001,2024-10-18,60.00000,2024-10-18T095323
ITRI0002001,2024-10-18,79.00000,2024-10-18T095153
ITRI0002001,2024-10-18,66.00000,2024-10-18T095144
ITRI0002001,2024-10-18,67.00000,2024-10-18T095107
ITRI0002001,2024-10-18,69.00000,2024-10-18T095030
ITRI0002001,2024-10-18,60.00000,2024-10-18T094444
ITRI0003004,2024-10-17,69.00000,2024-10-17T111340
ITRI0003004,2024-10-17,65.00000,2024-10-17T111336
ITRI0003004,2024-10-17,66.00000,2024-10-17T111333
ITRI0003004,2024-10-17,67.00000,2024-10-17T111304
ITRI0003004,2024-10-17,66.00000,2024-10-17T111300
ITRI0003004,2024-10-17,67.00000,2024-10-17T111256
ITRI0003004,2024-10-17,66.00000,2024-10-17T111227
ITRI0003004,2024-10-17,64.00000,2024-10-17T111224
ITRI0003004,2024-10-17,63.00000,2024-10-17T111220
ITRI0003004,2024-10-17,66.00000,2024-10-17T111212
ITRI0003004,2024-10-17,63.00000,2024-10-17T103515
ITRI0003004,2024-10-17,63.00000,2024-10-17T103512
ITRI0003004,2024-10-17,65.00000,2024-10-17T103508
ITRI0003004,2024-10-17,63.00000,2024-10-17T103447
ITRI0003004,2024-10-17,60.00000,2024-10-17T103434
ITRI0003004,2024-10-17,63.00000,2024-10-17T103431
ITRI0003004,2024-10-17,63.00000,2024-10-17T103427
ITRI0003004,2024-10-17,63.00000,2024-10-17T103218
ITRI0003004,2024-10-17,63.00000,2024-10-17T103212
ITRI0005001,2024-10-16,65.00000,2024-10-16T120454
ITRI0002001,2024-10-16,80.00000,2024-10-16T102325
ITRI0002001,2024-10-16,60.00000,2024-10-16T093249
ITRI0003004,2024-10-15,60.00000,2024-10-15T225415
ITRI0001001,2024-10-15,83.00000,2024-10-15T121301
ITRI0003005,2024-10-15,65.00000,2024-10-15T112459
ITRI0003005,2024-10-15,63.00000,2024-10-15T112455
ITRI0003005,2024-10-15,65.00000,2024-10-15T112422
ITRI0003005,2024-10-15,63.00000,2024-10-15T112335
ITRI0003005,2024-10-15,66.00000,2024-10-15T112021
ITRI0003005,2024-10-15,60.00000,2024-10-15T111547
ITRI0003004,2024-10-15,65.00000,2024-10-15T101229
ITRI0003004,2024-10-15,67.00000,2024-10-15T101226
ITRI0003004,2024-10-15,68.00000,2024-10-15T101221
ITRI0003004,2024-10-15,71.00000,2024-10-15T101156
ITRI0003004,2024-10-15,69.00000,2024-10-15T101152
ITRI0003004,2024-10-15,69.00000,2024-10-15T101132
ITRI0003004,2024-10-15,65.00000,2024-10-15T101128
ITRI0003004,2024-10-15,64.00000,2024-10-15T101102
ITRI0003004,2024-10-15,64.00000,2024-10-15T101021
ITRI0002001,2024-10-15,71.00000,2024-10-15T094052
ITRI0002001,2024-10-15,62.00000,2024-10-15T094048
ITRI0002001,2024-10-15,77.00000,2024-10-15T094044
ITRI0002001,2024-10-15,68.00000,2024-10-15T094028
ITRI0004002,2024-10-14,60.00000,2024-10-14T144853
ITRI0004002,2024-10-14,60.00000,2024-10-14T144848
ITRI0004002,2024-10-14,63.00000,2024-10-14T144841
ITRI0000005,2024-10-14,67.00000,2024-10-14T143811
ITRI0000005,2024-10-14,67.00000,2024-10-14T143811
ITRI0000005,2024-10-14,64.00000,2024-10-14T143743
ITRI0000005,2024-10-14,64.00000,2024-10-14T143743
ITRI0000005,2024-10-14,60.00000,2024-10-14T143710
ITRI0000005,2024-10-14,60.00000,2024-10-14T143710
ITRI0000005,2024-10-14,60.00000,2024-10-14T143636
ITRI0000005,2024-10-14,60.00000,2024-10-14T143636
ITRI0000005,2024-10-14,64.00000,2024-10-14T143516
ITRI0000005,2024-10-14,64.00000,2024-10-14T143516
ITRI0000005,2024-10-14,68.00000,2024-10-14T143511
ITRI0000005,2024-10-14,68.00000,2024-10-14T143511
ITRI0000005,2024-10-14,64.00000,2024-10-14T143438
ITRI0000005,2024-10-14,64.00000,2024-10-14T143438
ITRI0000005,2024-10-14,81.00000,2024-10-14T135903
ITRI0000005,2024-10-14,81.00000,2024-10-14T135903
ITRI0000005,2024-10-14,82.00000,2024-10-14T135856
ITRI0000005,2024-10-14,82.00000,2024-10-14T135856
ITRI0000005,2024-10-14,76.00000,2024-10-14T135821
ITRI0000005,2024-10-14,76.00000,2024-10-14T135821
ITRI0000005,2024-10-14,79.00000,2024-10-14T135810
ITRI0000005,2024-10-14,79.00000,2024-10-14T135810
ITRI0004002,2024-10-14,70.00000,2024-10-14T112214
ITRI0004002,2024-10-14,62.00000,2024-10-14T112022
ITRI0003004,2024-10-14,69.00000,2024-10-14T095254
ITRI0003004,2024-10-14,69.00000,2024-10-14T095250
ITRI0003004,2024-10-14,66.00000,2024-10-14T095217
ITRI0003004,2024-10-14,67.00000,2024-10-14T095209
ITRI0003004,2024-10-14,69.00000,2024-10-14T095144
ITRI0003004,2024-10-14,69.00000,2024-10-14T095140
ITRI0003004,2024-10-14,73.00000,2024-10-14T095113
ITRI0003004,2024-10-14,71.00000,2024-10-14T095051
ITRI0009001,2024-10-11,60.00000,2024-10-11T160434
ITRI0009001,2024-10-11,60.00000,2024-10-11T160434
ITRI0003004,2024-10-11,66.00000,2024-10-11T145651
ITRI0003004,2024-10-11,67.00000,2024-10-11T145647
ITRI0003004,2024-10-11,64.00000,2024-10-11T145608
ITRI0003004,2024-10-11,61.00000,2024-10-11T145604
ITRI0003004,2024-10-11,64.00000,2024-10-11T144601
ITRI0003004,2024-10-11,62.00000,2024-10-11T144557
ITRI0003004,2024-10-11,62.00000,2024-10-11T144553
ITRI0001001,2024-10-11,76.00000,2024-10-11T120453
ITRI0001001,2024-10-11,76.00000,2024-10-11T120447
ITRI0001001,2024-10-11,69.00000,2024-10-11T120420
ITRI0001001,2024-10-11,62.00000,2024-10-11T120403
ITRI0001001,2024-10-11,65.00000,2024-10-11T120338
ITRI0001001,2024-10-11,64.00000,2024-10-11T120325
ITRI0003003,2024-10-11,75.00000,2024-10-11T102754
ITRI0003003,2024-10-11,61.00000,2024-10-11T102749
ITRI0003003,2024-10-11,68.00000,2024-10-11T102655
ITRI0003003,2024-10-11,68.00000,2024-10-11T102650
ITRI0003003,2024-10-11,61.00000,2024-10-11T102643
ITRI0003003,2024-10-11,66.00000,2024-10-11T102620
ITRI0003003,2024-10-11,71.00000,2024-10-11T102615
ITRI0003003,2024-10-11,71.00000,2024-10-11T102611
ITRI0003003,2024-10-11,63.00000,2024-10-11T102543
ITRI0003003,2024-10-11,66.00000,2024-10-11T102538
ITRI0003003,2024-10-11,78.00000,2024-10-11T102509
ITRI0003003,2024-10-11,78.00000,2024-10-11T102505
ITRI0003003,2024-10-11,73.00000,2024-10-11T102458
ITRI0003003,2024-10-11,73.00000,2024-10-11T102430
ITRI0003003,2024-10-11,73.00000,2024-10-11T102426
ITRI0003003,2024-10-11,71.00000,2024-10-11T102355
ITRI0005003,2024-10-09,60.00000,2024-10-09T150702
ITRI0009001,2024-10-09,70.00000,2024-10-09T143437
ITRI0005003,2024-10-09,60.00000,2024-10-09T140755
ITRI0005003,2024-10-09,60.00000,2024-10-09T140729
ITRI0005003,2024-10-09,60.00000,2024-10-09T140724
ITRI0005003,2024-10-09,60.00000,2024-10-09T135404
ITRI0005003,2024-10-09,68.00000,2024-10-09T102813
ITRI0005003,2024-10-09,66.00000,2024-10-09T102808
ITRI0005003,2024-10-09,68.00000,2024-10-09T102740
ITRI0005003,2024-10-09,68.00000,2024-10-09T102735
ITRI0005003,2024-10-09,66.00000,2024-10-09T102623
ITRI0005003,2024-10-09,62.00000,2024-10-09T102552
ITRI0005001,2024-10-08,68.00000,2024-10-08T151328
ITRI0003004,2024-10-08,63.00000,2024-10-08T143544
ITRI0003004,2024-10-08,67.00000,2024-10-08T141809
ITRI0003003,2024-10-08,62.00000,2024-10-08T125224
ITRI0003004,2024-10-08,60.00000,2024-10-08T103811
ITRI0003004,2024-10-08,62.00000,2024-10-08T103806
ITRI0003003,2024-10-08,80.00000,2024-10-08T101428
ITRI0003003,2024-10-08,79.00000,2024-10-08T101423
ITRI0003003,2024-10-08,76.00000,2024-10-08T101121
ITRI0003003,2024-10-08,69.00000,2024-10-08T101116
ITRI0003003,2024-10-08,69.00000,2024-10-08T101110
ITRI0004002,2024-10-08,73.00000,2024-10-08T014743
ITRI0004002,2024-10-08,66.00000,2024-10-08T014716
ITRI0004002,2024-10-08,63.00000,2024-10-08T014015
ITRI0004002,2024-10-08,68.00000,2024-10-08T013220
ITRI0004002,2024-10-08,60.00000,2024-10-08T012737
ITRI0004002,2024-10-08,60.00000,2024-10-08T012730
ITRI0004002,2024-10-08,68.00000,2024-10-08T011040
ITRI0002001,2024-10-07,68.00000,2024-10-07T211303
ITRI0002001,2024-10-07,67.00000,2024-10-07T211253
ITRI0002001,2024-10-07,64.00000,2024-10-07T211247
ITRI0002001,2024-10-07,62.00000,2024-10-07T211230
ITRI0002001,2024-10-07,71.00000,2024-10-07T210940
ITRI0002001,2024-10-07,67.00000,2024-10-07T210928
ITRI0003004,2024-10-04,65.00000,2024-10-04T105800
ITRI0003004,2024-10-04,61.00000,2024-10-04T103601
ITRI0003004,2024-10-04,61.00000,2024-10-04T094610
ITRI0002001,2024-10-01,60.00000,2024-10-01T144730
ITRI0003003,2024-10-01,64.00000,2024-10-01T141713
ITRI0003003,2024-10-01,85.00000,2024-10-01T141636
ITRI0003003,2024-10-01,78.00000,2024-10-01T141631
ITRI0003003,2024-10-01,80.00000,2024-10-01T141626
ITRI0003003,2024-10-01,82.00000,2024-10-01T141558
ITRI0003003,2024-10-01,86.00000,2024-10-01T141516
ITRI0003003,2024-10-01,78.00000,2024-10-01T141507
ITRI0003003,2024-10-01,62.00000,2024-10-01T114808
ITRI0003003,2024-10-01,62.00000,2024-10-01T114803
ITRI0003003,2024-10-01,68.00000,2024-10-01T114732
ITRI0003003,2024-10-01,64.00000,2024-10-01T114727
ITRI0003003,2024-10-01,63.00000,2024-10-01T113106
ITRI0003003,2024-10-01,60.00000,2024-10-01T113101
ITRI0002001,2024-10-01,80.00000,2024-10-01T110219
ITRI0002001,2024-10-01,76.00000,2024-10-01T110215
ITRI0002001,2024-10-01,74.00000,2024-10-01T110130
ITRI0002001,2024-10-01,71.00000,2024-10-01T110124
ITRI0002001,2024-10-01,63.00000,2024-10-01T101821
KST0000002,2024-09-30,64.00000,2024-09-30T150519
KST0000002,2024-09-30,62.00000,2024-09-30T150432
KST0000002,2024-09-30,60.00000,2024-09-30T145931
KST0000002,2024-09-30,60.00000,2024-09-30T145913
KST0000002,2024-09-30,67.00000,2024-09-30T145850
KST0000002,2024-09-30,77.00000,2024-09-30T145834
KST0000002,2024-09-30,67.00000,2024-09-30T145822
KST0000002,2024-09-30,68.00000,2024-09-30T145818
KST0000002,2024-09-30,64.00000,2024-09-30T145801
KST0000002,2024-09-30,67.00000,2024-09-30T145750
KST0000002,2024-09-30,67.00000,2024-09-30T145729
KST0000002,2024-09-30,73.00000,2024-09-30T145725
KST0000002,2024-09-30,70.00000,2024-09-30T145720
KST0000002,2024-09-30,76.00000,2024-09-30T145610
KST0000002,2024-09-30,65.00000,2024-09-30T145604
KST0000002,2024-09-30,60.00000,2024-09-30T145541
KST0000002,2024-09-30,67.00000,2024-09-30T145534
KST0000002,2024-09-30,67.00000,2024-09-30T145530
KST0000002,2024-09-30,63.00000,2024-09-30T145440
KST0000002,2024-09-30,61.00000,2024-09-30T145427
KST0000002,2024-09-30,74.00000,2024-09-30T145333
KST0000002,2024-09-30,77.00000,2024-09-30T145316
KST0000002,2024-09-30,67.00000,2024-09-30T143351
KST0000002,2024-09-30,60.00000,2024-09-30T143137
KST0000002,2024-09-30,66.00000,2024-09-30T143104
KST0000002,2024-09-30,66.00000,2024-09-30T143050
KST0000002,2024-09-30,64.00000,2024-09-30T143044
KST0000002,2024-09-30,60.00000,2024-09-30T142927
KST0000002,2024-09-30,65.00000,2024-09-30T142902
KST0000002,2024-09-30,67.00000,2024-09-30T142851
KST0000002,2024-09-30,60.00000,2024-09-30T142834
KST0000002,2024-09-30,65.00000,2024-09-30T142820
KST0000002,2024-09-30,66.00000,2024-09-30T142817
KST0000002,2024-09-30,69.00000,2024-09-30T142813
KST0000002,2024-09-30,67.00000,2024-09-30T142808
KST0000002,2024-09-30,73.00000,2024-09-30T142734
KST0000002,2024-09-30,74.00000,2024-09-30T142728
KST0000002,2024-09-30,68.00000,2024-09-30T142723
KST0000002,2024-09-30,73.00000,2024-09-30T142718
KST0000002,2024-09-30,64.00000,2024-09-30T142714
KST0000002,2024-09-30,61.00000,2024-09-30T142708
KST0000002,2024-09-30,60.00000,2024-09-30T142703
KST0000002,2024-09-30,67.00000,2024-09-30T142649
KST0000002,2024-09-30,74.00000,2024-09-30T142643
KST0000002,2024-09-30,66.00000,2024-09-30T142631
KST0000002,2024-09-30,60.00000,2024-09-30T142626
KST0000002,2024-09-30,71.00000,2024-09-30T142623
KST0000002,2024-09-30,67.00000,2024-09-30T142618
KST0000002,2024-09-30,60.00000,2024-09-30T142613
KST0000002,2024-09-30,64.00000,2024-09-30T142228
KST0000002,2024-09-30,60.00000,2024-09-30T142225
KST0000002,2024-09-30,68.00000,2024-09-30T142150
KST0000002,2024-09-30,60.00000,2024-09-30T142124
